event_key,type,account_key,estimate_key,property_key,occurred_at,source,payload
airtable:acc_e2e0000001:created,account_created,acc_e2e0000001,,,2025-11-30T23:03:07Z,airtable_import,"{""origin"": ""airtable_import"", ""source"": ""Referral"", ""account_type"": ""residential""}"
airtable:rec000001:sent,estimate_sent,acc_e2e0000001,est_e2e00000001,prop_e2e0000001,2025-12-05T00:00:00Z,airtable_import,"{""total_cents"": 2354201, ""quote_type"": ""Interior"", ""airtable_status"": ""Won""}"
airtable:rec000001:note:0,note,acc_e2e0000001,est_e2e00000001,prop_e2e0000001,2025-12-09T09:00:00Z,airtable_import,"{""text"": ""Rang and texted"", ""author"": """", ""origin"": ""airtable_estimates_notes""}"
airtable:rec000001:note:1,note,acc_e2e0000001,est_e2e00000001,prop_e2e0000001,2025-12-16T09:00:00Z,airtable_import,"{""text"": ""rang, will catch up in the new year"", ""author"": ""Tom"", ""origin"": ""airtable_estimates_notes""}"
airtable:rec000001:note:2,note,acc_e2e0000001,est_e2e00000001,prop_e2e0000001,2026-01-21T09:00:00Z,airtable_import,"{""text"": ""Spoken with Justin, still undecided"", ""author"": """", ""origin"": ""airtable_estimates_notes""}"
airtable:rec000001:note:3,note,acc_e2e0000001,est_e2e00000001,prop_e2e0000001,2026-03-13T09:00:00Z,airtable_import,"{""text"": ""Sent email to see how he is travelling"", ""author"": ""Tom"", ""origin"": ""airtable_estimates_notes""}"
airtable:rec000001:note:4,note,acc_e2e0000001,est_e2e00000001,prop_e2e0000001,2026-04-02T09:00:00Z,airtable_import,"{""text"": ""rang, still deciding"", ""author"": """", ""origin"": ""airtable_estimates_notes""}"
airtable:rec000001:note:5,note,acc_e2e0000001,est_e2e00000001,prop_e2e0000001,2026-04-13T05:32:19Z,airtable_import,"{""text"": ""Client looking to book in after he goes away"", ""author"": ""Tom"", ""origin"": ""airtable_projects_notes"", ""date_note"": ""no date in note; anchored to record creation""}"
airtable:rec000001:accepted,estimate_accepted,acc_e2e0000001,est_e2e00000001,prop_e2e0000001,2026-04-13T05:32:19Z,airtable_import,"{""total_cents"": 2354201, ""quote_number"": ""2119"", ""date_confidence"": ""high""}"
airtable:rec000002:sent,estimate_sent,acc_e2e0000001,est_e2e00000002,prop_e2e0000001,2026-09-02T00:00:00Z,airtable_import,"{""total_cents"": 220000, ""quote_type"": ""Interior"", ""airtable_status"": ""Hot In Negotiation""}"
airtable:acc_e2e0000002:created,account_created,acc_e2e0000002,,,2025-06-01T00:00:00Z,airtable_import,"{""origin"": ""airtable_import"", ""source"": """", ""account_type"": ""residential""}"
airtable:rec000003:sent,estimate_sent,acc_e2e0000002,est_e2e00000003,prop_e2e0000002,2025-06-02T00:00:00Z,airtable_import,"{""total_cents"": 330000, ""quote_type"": ""Interior"", ""airtable_status"": ""Lost - Competitor""}"
airtable:rec000003:declined,estimate_declined,acc_e2e0000002,est_e2e00000003,prop_e2e0000002,2025-06-20T00:00:00Z,airtable_import,"{""reason"": ""competitor"", ""date_confidence"": ""high"", ""airtable_status"": ""Lost - Competitor""}"
airtable:rec000007:sent,estimate_sent,acc_e2e0000002,est_e2e00000007,prop_e2e0000002,2025-05-02T00:00:00Z,airtable_import,"{""total_cents"": 55000, ""quote_type"": ""Interior"", ""airtable_status"": ""Cold, no response""}"
airtable:rec000007:lapsed,estimate_lapsed,acc_e2e0000002,est_e2e00000007,prop_e2e0000002,2025-07-31T00:00:00Z,airtable_import,"{""airtable_status"": ""Cold, no response"", ""date_confidence"": ""low""}"
airtable:acc_e2e0000003:created,account_created,acc_e2e0000003,,,2025-04-30T11:43:02Z,airtable_import,"{""origin"": ""airtable_import"", ""source"": """", ""account_type"": ""residential""}"
airtable:rec000004:sent,estimate_sent,acc_e2e0000003,est_e2e00000004,prop_e2e0000003,2026-08-21T00:00:00Z,airtable_import,"{""total_cents"": 165000, ""quote_type"": ""Real Estate"", ""airtable_status"": ""Warm, undecided""}"
airtable:acc_e2e0000004:created,account_created,acc_e2e0000004,,,2026-05-01T00:00:00Z,airtable_import,"{""origin"": ""airtable_import"", ""source"": """", ""account_type"": ""residential""}"
